label,n_points,file
8,731,valve_0028_lidar_classes.ply
9,2832,valve_0028_lidar_classes.ply
0,923,valve_0029_lidar_classes.ply
1,208,valve_0029_lidar_classes.ply
2,63,valve_0029_lidar_classes.ply
3,703,valve_0029_lidar_classes.ply
4,61,valve_0029_lidar_classes.ply
5,995,valve_0029_lidar_classes.ply
6,919,valve_0029_lidar_classes.ply
7,455,valve_0029_lidar_classes.ply
8,690,valve_0029_lidar_classes.ply
9,2696,valve_0029_lidar_classes.ply
0,584,valve_0030_lidar_classes.ply
1,180,valve_0030_lidar_classes.ply
2,84,valve_0030_lidar_classes.ply
3,613,valve_0030_lidar_classes.ply
4,96,valve_0030_lidar_classes.ply
5,962,valve_0030_lidar_classes.ply
6,823,valve_0030_lidar_classes.ply
7,404,valve_0030_lidar_classes.ply
8,658,valve_0030_lidar_classes.ply
9,3018,valve_0030_lidar_classes.ply
0,642,valve_0031_lidar_classes.ply
1,176,valve_0031_lidar_classes.ply
2,98,valve_0031_lidar_classes.ply
3,682,valve_0031_lidar_classes.ply
4,99,valve_0031_lidar_classes.ply
5,1157,valve_0031_lidar_classes.ply
6,810,valve_0031_lidar_classes.ply
7,432,valve_0031_lidar_classes.ply
8,645,valve_0031_lidar_classes.ply
9,2590,valve_0031_lidar_classes.ply
0,641,valve_0032_lidar_classes.ply
1,174,valve_0032_lidar_classes.ply
2,89,valve_0032_lidar_classes.ply
3,675,valve_0032_lidar_classes.ply
4,82,valve_0032_lidar_classes.ply
5,963,valve_0032_lidar_classes.ply
6,882,valve_0032_lidar_classes.ply
7,415,valve_0032_lidar_classes.ply
8,687,valve_0032_lidar_classes.ply
9,2739,valve_0032_lidar_classes.ply
0,907,valve_0033_lidar_classes.ply
1,189,valve_0033_lidar_classes.ply
2,75,valve_0033_lidar_classes.ply
3,691,valve_0033_lidar_classes.ply
4,107,valve_0033_lidar_classes.ply
5,1262,valve_0033_lidar_classes.ply
6,960,valve_0033_lidar_classes.ply
7,458,valve_0033_lidar_classes.ply
8,886,valve_0033_lidar_classes.ply
9,2245,valve_0033_lidar_classes.ply
0,852,valve_0034_lidar_classes.ply
1,232,valve_0034_lidar_classes.ply
2,82,valve_0034_lidar_classes.ply
3,776,valve_0034_lidar_classes.ply
4,123,valve_0034_lidar_classes.ply
5,1180,valve_0034_lidar_classes.ply
6,1083,valve_0034_lidar_classes.ply
7,470,valve_0034_lidar_classes.ply
8,705,valve_0034_lidar_classes.ply
9,2929,valve_0034_lidar_classes.ply
0,413,valve_0035_lidar_classes.ply
1,149,valve_0035_lidar_classes.ply
2,73,valve_0035_lidar_classes.ply
3,553,valve_0035_lidar_classes.ply
4,85,valve_0035_lidar_classes.ply
5,865,valve_0035_lidar_classes.ply
6,652,valve_0035_lidar_classes.ply
7,398,valve_0035_lidar_classes.ply
8,710,valve_0035_lidar_classes.ply
9,2600,valve_0035_lidar_classes.ply
0,637,valve_0036_lidar_classes.ply
1,172,valve_0036_lidar_classes.ply
2,75,valve_0036_lidar_classes.ply
3,735,valve_0036_lidar_classes.ply
4,99,valve_0036_lidar_classes.ply
5,1208,valve_0036_lidar_classes.ply
6,441,valve_0036_lidar_classes.ply
7,403,valve_0036_lidar_classes.ply
8,805,valve_0036_lidar_classes.ply
9,2924,valve_0036_lidar_classes.ply
0,690,valve_0037_lidar_classes.ply
1,157,valve_0037_lidar_classes.ply
2,61,valve_0037_lidar_classes.ply
3,439,valve_0037_lidar_classes.ply
4,59,valve_0037_lidar_classes.ply
5,857,valve_0037_lidar_classes.ply
6,314,valve_0037_lidar_classes.ply
7,319,valve_0037_lidar_classes.ply
8,549,valve_0037_lidar_classes.ply
9,3009,valve_0037_lidar_classes.ply
0,636,valve_0038_lidar_classes.ply
1,204,valve_0038_lidar_classes.ply
2,99,valve_0038_lidar_classes.ply
3,781,valve_0038_lidar_classes.ply
4,98,valve_0038_lidar_classes.ply
5,1224,valve_0038_lidar_classes.ply
6,527,valve_0038_lidar_classes.ply
7,446,valve_0038_lidar_classes.ply
8,855,valve_0038_lidar_classes.ply
9,3261,valve_0038_lidar_classes.ply
0,834,valve_0039_lidar_classes.ply
1,158,valve_0039_lidar_classes.ply
2,77,valve_0039_lidar_classes.ply
3,520,valve_0039_lidar_classes.ply
4,56,valve_0039_lidar_classes.ply
5,758,valve_0039_lidar_classes.ply
6,298,valve_0039_lidar_classes.ply
7,480,valve_0039_lidar_classes.ply
8,610,valve_0039_lidar_classes.ply
9,3377,valve_0039_lidar_classes.ply
0,746,valve_0040_lidar_classes.ply
1,153,valve_0040_lidar_classes.ply
2,77,valve_0040_lidar_classes.ply
3,657,valve_0040_lidar_classes.ply
4,86,valve_0040_lidar_classes.ply
5,1041,valve_0040_lidar_classes.ply
6,657,valve_0040_lidar_classes.ply
7,401,valve_0040_lidar_classes.ply
8,697,valve_0040_lidar_classes.ply
9,2667,valve_0040_lidar_classes.ply
0,858,valve_0041_lidar_classes.ply
1,127,valve_0041_lidar_classes.ply
2,71,valve_0041_lidar_classes.ply
3,466,valve_0041_lidar_classes.ply
4,67,valve_0041_lidar_classes.ply
5,999,valve_0041_lidar_classes.ply
6,338,valve_0041_lidar_classes.ply
7,516,valve_0041_lidar_classes.ply
8,851,valve_0041_lidar_classes.ply
9,3144,valve_0041_lidar_classes.ply
0,571,valve_0042_lidar_classes.ply
1,147,valve_0042_lidar_classes.ply
2,75,valve_0042_lidar_classes.ply
3,612,valve_0042_lidar_classes.ply
4,112,valve_0042_lidar_classes.ply
5,1168,valve_0042_lidar_classes.ply
6,835,valve_0042_lidar_classes.ply
7,449,valve_0042_lidar_classes.ply
8,750,valve_0042_lidar_classes.ply
9,2602,valve_0042_lidar_classes.ply
0,679,valve_0043_lidar_classes.ply
1,185,valve_0043_lidar_classes.ply
2,96,valve_0043_lidar_classes.ply
3,773,valve_0043_lidar_classes.ply
4,105,valve_0043_lidar_classes.ply
5,1307,valve_0043_lidar_classes.ply
6,460,valve_0043_lidar_classes.ply
7,448,valve_0043_lidar_classes.ply
8,913,valve_0043_lidar_classes.ply
9,3247,valve_0043_lidar_classes.ply
0,646,valve_0044_lidar_classes.ply
1,217,valve_0044_lidar_classes.ply
2,72,valve_0044_lidar_classes.ply
3,731,valve_0044_lidar_classes.ply
4,103,valve_0044_lidar_classes.ply
5,1163,valve_0044_lidar_classes.ply
6,471,valve_0044_lidar_classes.ply
7,377,valve_0044_lidar_classes.ply
8,808,valve_0044_lidar_classes.ply
9,2900,valve_0044_lidar_classes.ply
0,516,valve_0045_lidar_classes.ply
1,131,valve_0045_lidar_classes.ply
2,81,valve_0045_lidar_classes.ply
3,614,valve_0045_lidar_classes.ply
4,52,valve_0045_lidar_classes.ply
5,932,valve_0045_lidar_classes.ply
6,694,valve_0045_lidar_classes.ply
7,410,valve_0045_lidar_classes.ply
8,639,valve_0045_lidar_classes.ply
9,2782,valve_0045_lidar_classes.ply
0,641,valve_0046_lidar_classes.ply
1,205,valve_0046_lidar_classes.ply
2,89,valve_0046_lidar_classes.ply
3,762,valve_0046_lidar_classes.ply
4,116,valve_0046_lidar_classes.ply
5,1065,valve_0046_lidar_classes.ply
6,952,valve_0046_lidar_classes.ply
7,456,valve_0046_lidar_classes.ply
8,745,valve_0046_lidar_classes.ply
9,2760,valve_0046_lidar_classes.ply
0,701,valve_0047_lidar_classes.ply
1,170,valve_0047_lidar_classes.ply
2,76,valve_0047_lidar_classes.ply
3,542,valve_0047_lidar_classes.ply
4,96,valve_0047_lidar_classes.ply
5,1090,valve_0047_lidar_classes.ply
6,250,valve_0047_lidar_classes.ply
7,458,valve_0047_lidar_classes.ply
8,847,valve_0047_lidar_classes.ply
9,2813,valve_0047_lidar_classes.ply
0,583,valve_0048_lidar_classes.ply
1,171,valve_0048_lidar_classes.ply
2,85,valve_0048_lidar_classes.ply
3,607,valve_0048_lidar_classes.ply
4,107,valve_0048_lidar_classes.ply
5,1075,valve_0048_lidar_classes.ply
6,759,valve_0048_lidar_classes.ply
7,433,valve_0048_lidar_classes.ply
8,680,valve_0048_lidar_classes.ply
9,3021,valve_0048_lidar_classes.ply
0,512,valve_0049_lidar_classes.ply
1,129,valve_0049_lidar_classes.ply
2,80,valve_0049_lidar_classes.ply
3,623,valve_0049_lidar_classes.ply
4,61,valve_0049_lidar_classes.ply
5,869,valve_0049_lidar_classes.ply
6,603,valve_0049_lidar_classes.ply
7,372,valve_0049_lidar_classes.ply
8,635,valve_0049_lidar_classes.ply
9,2726,valve_0049_lidar_classes.ply
0,474,valve_0050_lidar_classes.ply
1,141,valve_0050_lidar_classes.ply
2,81,valve_0050_lidar_classes.ply
3,630,valve_0050_lidar_classes.ply
4,62,valve_0050_lidar_classes.ply
5,910,valve_0050_lidar_classes.ply
6,663,valve_0050_lidar_classes.ply
7,408,valve_0050_lidar_classes.ply
8,682,valve_0050_lidar_classes.ply
9,2654,valve_0050_lidar_classes.ply
0,818,valve_0051_lidar_classes.ply
1,201,valve_0051_lidar_classes.ply
2,73,valve_0051_lidar_classes.ply
3,677,valve_0051_lidar_classes.ply
4,92,valve_0051_lidar_classes.ply
5,914,valve_0051_lidar_classes.ply
6,738,valve_0051_lidar_classes.ply
7,439,valve_0051_lidar_classes.ply
8,669,valve_0051_lidar_classes.ply
9,2438,valve_0051_lidar_classes.ply
0,758,valve_0052_lidar_classes.ply
1,163,valve_0052_lidar_classes.ply
2,79,valve_0052_lidar_classes.ply
3,538,valve_0052_lidar_classes.ply
4,89,valve_0052_lidar_classes.ply
5,929,valve_0052_lidar_classes.ply
6,311,valve_0052_lidar_classes.ply
7,481,valve_0052_lidar_classes.ply
8,777,valve_0052_lidar_classes.ply
9,2805,valve_0052_lidar_classes.ply
0,909,valve_0053_lidar_classes.ply
1,198,valve_0053_lidar_classes.ply
2,74,valve_0053_lidar_classes.ply
3,773,valve_0053_lidar_classes.ply
4,101,valve_0053_lidar_classes.ply
5,1104,valve_0053_lidar_classes.ply
6,928,valve_0053_lidar_classes.ply
7,475,valve_0053_lidar_classes.ply
8,643,valve_0053_lidar_classes.ply
9,2856,valve_0053_lidar_classes.ply
0,730,valve_0054_lidar_classes.ply
1,149,valve_0054_lidar_classes.ply
2,77,valve_0054_lidar_classes.ply
3,545,valve_0054_lidar_classes.ply
4,71,valve_0054_lidar_classes.ply
5,920,valve_0054_lidar_classes.ply
6,442,valve_0054_lidar_classes.ply
7,478,valve_0054_lidar_classes.ply
8,731,valve_0054_lidar_classes.ply
9,3045,valve_0054_lidar_classes.ply
0,753,valve_0055_lidar_classes.ply
1,177,valve_0055_lidar_classes.ply
2,78,valve_0055_lidar_classes.ply
3,552,valve_0055_lidar_classes.ply
4,76,valve_0055_lidar_classes.ply
5,1080,valve_0055_lidar_classes.ply
6,320,valve_0055_lidar_classes.ply
7,486,valve_0055_lidar_classes.ply
