file,label,n_points,geo_class,method,rec_status,n_vertices,n_faces,cloud_to_mesh_mean,cloud_to_mesh_max,cloud_to_mesh_rmse,cloud_to_mesh_median,mesh_to_cloud_mean,mesh_to_cloud_rmse,hausdorff_approx,surface_area,n_mesh_components,largest_comp_ratio
valve_0396_lidar_classes.ply,2,76,complex,poisson,ok,2057,3915,0.3881248041091284,0.9679947685853774,0.41190991876385696,0.40809447595592685,1.6305592314659132,1.791505017746858,4.1317036496403015,1033.465285433917,17,0.9530012771392081
valve_0396_lidar_classes.ply,3,572,tubular,ball_pivoting,ok,443,755,1.0082124992533437,5.687941947520634,2.20199829769542,0.0,0.0,0.0,5.687941947520634,5700.417880055691,2,0.9986754966887417
valve_0396_lidar_classes.ply,5,1143,complex,poisson,ok,3119,6036,1.064587589603678,3.3977417791994196,1.15869461599025,1.0784405223607567,2.6383851448588937,3.6520027371419554,14.541060298340946,17258.35189236803,1,1.0
valve_0396_lidar_classes.ply,6,424,complex,poisson,ok,2885,5489,0.7757296133123428,2.38674064403769,0.839274142957431,0.8118099625224933,3.8115395107186165,4.93833766886567,13.88324632610795,8327.403598117156,1,1.0
valve_0396_lidar_classes.ply,7,465,complex,poisson,ok,3052,5809,1.114721345160057,3.4220300817527325,1.2757130792856826,1.0003982260081286,4.66880600581975,6.239129617858081,22.327468279940028,9954.752560026209,3,0.9972456532966087
valve_0396_lidar_classes.ply,8,681,complex,poisson,ok,2846,5454,1.0440940190026367,4.489041954429614,1.140511233258343,1.0806978668961191,3.2877370838517352,4.392383094853847,18.893833057795206,13408.730896355528,2,0.9998166483314999
valve_0396_lidar_classes.ply,9,3109,spherical,ball_pivoting,ok,3072,6000,0.047167013966765946,4.703177719409864,0.4357093005324191,0.0,0.0,0.0,4.703177719409864,41466.06906712413,1,1.0
valve_0397_lidar_classes.ply,0,601,tubular,ball_pivoting,ok,591,1084,0.0779354097805442,7.455863574525929,0.6679692266909069,0.0,0.0,0.0,7.455863574525929,6679.234529663991,3,0.9953874538745388
valve_0397_lidar_classes.ply,1,191,complex,poisson,ok,3147,6014,0.729349570911104,3.73370070872896,0.9153184765575995,0.6156256120397579,4.089722058164779,5.188757029840754,13.977515822608213,5147.591605406796,13,0.9840372464250083
valve_0397_lidar_classes.ply,2,85,complex,poisson,ok,1969,3729,0.36555887453171027,1.1274193158553747,0.4094481437034858,0.34180973479776355,1.6173080980095007,1.8119714327336256,4.151599718777454,983.737819795548,18,0.9651381067310271
valve_0397_lidar_classes.ply,3,747,tubular,ball_pivoting,ok,619,988,0.7864665944894231,5.486061508980344,1.9329468367901823,0.0,0.0,0.0,5.486061508980344,6037.853016264364,19,0.9281376518218624
valve_0397_lidar_classes.ply,4,106,complex,poisson,ok,2813,5359,0.6295928403067126,4.329250854094822,0.7633550925986273,0.5916381827381798,4.608630118266169,5.708446047867586,15.429366228999653,3512.23041919821,2,0.9985071841761523
valve_0397_lidar_classes.ply,5,1180,complex,poisson,ok,3161,6120,1.0092809220655805,6.598842284276531,1.1525593232916072,0.9893858920748513,2.4456120271855593,3.35164262741716,13.627255222422264,15332.118200554321,1,1.0
valve_0397_lidar_classes.ply,6,419,complex,poisson,ok,2483,4706,0.7871585994732043,3.0280206331540707,0.8689817725659356,0.7769452526298506,3.7071750321372616,4.91439905810266,16.54406064929765,7364.5284010461355,1,1.0
valve_0397_lidar_classes.ply,7,442,complex,poisson,ok,2658,5058,1.058239732393529,3.1362515374120843,1.20293275078783,0.9725663160471949,4.595943759156731,6.011866924330897,16.074829859078623,8972.953397768393,1,1.0
valve_0397_lidar_classes.ply,8,776,complex,poisson,ok,2833,5427,0.9853785906117694,3.9990487045424286,1.0860722635719777,0.9992577990639984,2.6427957758009843,3.479305839676254,12.385008468971707,11787.611335911031,1,1.0
valve_0397_lidar_classes.ply,9,3000,spherical,ball_pivoting,ok,2973,5746,0.030523671921798487,4.365922140162251,0.3292213420627286,0.0,0.0,0.0,4.365922140162251,30573.206123812226,1,1.0
valve_0398_lidar_classes.ply,0,703,planar,poisson,ok,2455,4801,1.2282792106466796,9.238567998532849,1.8847388022231524,0.8972245679355229,8.1928029665725,13.86325458348384,53.69338712611382,16395.17537670415,1,1.0
valve_0398_lidar_classes.ply,1,125,complex,poisson,ok,2517,4786,0.6164729985459189,1.611118678425576,0.6643633642688984,0.6053286010747266,3.658448697048398,4.5846635099254085,12.736387197437127,3587.465564339151,11,0.9799414960300877
valve_0398_lidar_classes.ply,3,439,tubular,ball_pivoting,ok,426,715,0.14533984496901436,5.529181974443261,0.8477191927088612,0.0,0.0,0.0,5.529181974443261,5296.664022598756,4,0.9384615384615385
valve_0398_lidar_classes.ply,5,908,complex,poisson,ok,3116,6006,1.0024791348072684,2.673232196910089,1.0806489788199103,1.0347403214162125,2.724993915287126,3.637349722650678,13.232601574843756,15328.869905041953,1,1.0
valve_0398_lidar_classes.ply,6,274,complex,poisson,ok,2078,3933,0.8081612982030872,2.748434923465919,0.8869469768230602,0.8393639191088988,3.818460352420685,5.134531168959724,21.376597496624672,6571.849353457118,1,1.0
valve_0398_lidar_classes.ply,7,241,complex,poisson,ok,2100,3986,0.840318100008294,2.98049771680286,0.9381302185150947,0.8683327901258097,3.8725387521804486,5.044858156681356,17.323227097666372,6132.210350185854,1,1.0
valve_0398_lidar_classes.ply,8,554,complex,poisson,ok,2867,5474,1.0407584824256866,4.858477288570198,1.1440064364956273,1.0407392607527979,3.885512309937652,5.147034894941632,18.484824247120567,13448.847171036234,1,1.0
valve_0398_lidar_classes.ply,9,2768,spherical,ball_pivoting,ok,2750,5375,0.02567918610476703,4.4115937685254085,0.3191850880669955,0.0,0.0,0.0,4.4115937685254085,38165.69637593019,1,1.0
valve_0399_lidar_classes.ply,0,806,tubular,ball_pivoting,ok,800,1509,0.03108366590200184,6.705671500457817,0.39797969760700314,0.0,0.0,0.0,6.705671500457817,8730.929774060345,1,1.0
valve_0399_lidar_classes.ply,1,204,complex,poisson,ok,3133,5958,0.7196793438523165,5.9583427734935475,1.0094434530040943,0.6091949028940792,3.37890186175409,4.252683747408676,12.611639723263337,4578.837552523838,14,0.9825444780127559
valve_0399_lidar_classes.ply,2,81,complex,poisson,ok,2140,4053,0.41274237899651045,2.3547754429875885,0.5430654650578544,0.35359820337309034,1.535672044390027,1.6958565280769247,3.7475470542636704,853.1777644050069,21,0.9546015297310634
valve_0399_lidar_classes.ply,3,809,tubular,ball_pivoting,ok,695,944,0.5105860191800042,5.939413810221765,1.4341488388444592,0.0,0.0,0.0,5.939413810221765,5615.845500094265,54,0.8559322033898306
valve_0399_lidar_classes.ply,4,130,complex,poisson,ok,2495,4836,0.645506535513152,4.4147392650748944,0.7910180656571195,0.6030397976835273,5.7552080745828915,7.488871993255322,22.29541788592331,4464.60416073289,4,0.9933829611248967
valve_0399_lidar_classes.ply,5,1037,complex,poisson,ok,3392,6544,0.9906276256494806,3.216729189228892,1.0955577076400018,1.0128004879087704,2.7587818762959433,3.8430919306118705,14.735077890458516,14445.63046495318,1,1.0
valve_0399_lidar_classes.ply,6,909,complex,poisson,ok,3156,6059,1.0502200549205871,3.890197349825635,1.214351205753281,0.9502461166273736,3.1296473553298885,4.285312403929728,13.149628611333714,9231.481201371349,1,1.0
valve_0399_lidar_classes.ply,7,459,complex,poisson,ok,2887,5485,0.8900507444803138,3.632608134803304,1.0144763586450782,0.8468240603477935,2.9187183207755303,3.771252443119429,11.349192264781022,7196.790124473205,3,0.9970829535095715
valve_0399_lidar_classes.ply,8,626,complex,poisson,ok,2400,4569,1.025750407667665,3.291203769832642,1.1268480108253216,1.0513092106181365,4.52051521189677,6.430958635492935,25.712573652115978,12103.853625432132,1,1.0
