n_points,density_mean_nn,density_std_nn,density_cv,density_level,pca_ev,pca_ev1,pca_ev2,pca_ev3,pca_linearity,pca_planarity,pca_sphericity,shape_type,curvature_mean,curvature_std,curvature_max,curvature_p90,surface_type,normal_consistency_mean,normal_consistency_std,normal_quality,n_components,n_noise_pts,noise_ratio,topology,label,geo_class,method,file
1168,3.9119112798425926,1.4373613027295196,0.3674319787794175,medium,"[0.5018424891610803, 0.34771310977928577, 0.15044440105963383]",0.5018424891610803,0.34771310977928577,0.15044440105963383,0.30712700180553154,0.39308889260519386,0.29978410359661756,complex,0.006614927322194969,0.012007912759164178,0.08519231535659716,0.019544704283125443,smooth,0.9940045580708624,0.010827300835154296,high,1,0,0.0,connected,5,complex,poisson,valve_0042_lidar_classes.ply
835,3.390090274222732,1.0421874521281738,0.3074217402838044,medium,"[0.5370323756676113, 0.3665179683488996, 0.09644965598348902]",0.5370323756676113,0.3665179683488996,0.09644965598348902,0.31751234139138174,0.5028901870707241,0.17959746967580914,complex,0.04154003164720034,0.05182433343842515,0.1560741316892195,0.1284624148390762,slightly_curved,0.9917297110069435,0.008016458129246205,high,1,0,0.0,connected,6,complex,poisson,valve_0042_lidar_classes.ply
449,4.292426411745246,1.4023453880599328,0.32670225490553134,low,"[0.5943411706246765, 0.30396937958501147, 0.1016894497903121]",0.5943411706246765,0.30396937958501147,0.1016894497903121,0.48856078781470214,0.34034312184995014,0.1710960886528125,complex,0.03623628999568275,0.03658483479071622,0.11053386249317267,0.09247558298216184,slightly_curved,0.9921255861938316,0.006337903223081001,high,1,0,0.0,connected,7,complex,poisson,valve_0042_lidar_classes.ply
750,4.505385879185866,1.7134645798788322,0.3803147223003559,low,"[0.5109501034023795, 0.33377606693538775, 0.15527382966223285]",0.5109501034023795,0.33377606693538775,0.15527382966223285,0.3467540860456797,0.34935355866486373,0.3038923533323184,complex,0.010599764642585463,0.01605832772688784,0.10627853086421465,0.02355896085274023,smooth,0.9875259006192145,0.02077913188378043,high,1,0,0.0,connected,8,complex,poisson,valve_0042_lidar_classes.ply
2602,4.2051431442698,1.5237127200196334,0.3623450302122528,low,"[0.4180149459956315, 0.35239248659650113, 0.22959256740786738]",0.4180149459956315,0.35239248659650113,0.22959256740786738,0.15698591610365586,0.29376920627174863,0.5492448752323364,spherical,0.009087064002063492,0.013751931195979583,0.0812250720161752,0.028896341781513624,smooth,0.9906090235452742,0.014281647751327968,high,1,4,0.0015372790161414297,connected,9,spherical,ball_pivoting,valve_0042_lidar_classes.ply
679,3.894788381150968,1.2211371931613029,0.3135310762344699,medium,"[0.8746849335934538, 0.11192365005747384, 0.013391416349072396]",0.8746849335934538,0.11192365005747384,0.013391416349072396,0.8720411811945806,0.11264882909432801,0.015309988567822555,linear,0.041430432956751334,0.04289062483658646,0.2581355986341362,0.09868464076715648,slightly_curved,0.9327379085289536,0.09001689489056083,high,1,0,0.0,connected,0,tubular,ball_pivoting,valve_0043_lidar_classes.ply
185,4.5311049716668625,1.4485110280320495,0.31968163103038916,low,"[0.6095168875998163, 0.30015041889474653, 0.09033269350543714]",0.6095168875998163,0.30015041889474653,0.09033269350543714,0.507560125882233,0.34423611439430857,0.1482037580828148,complex,0.06321375461886976,0.03658734527322979,0.22844542679093388,0.10723910333099212,highly_curved,0.9276092739208062,0.09307003401459425,high,1,0,0.0,connected,1,complex,poisson,valve_0043_lidar_classes.ply
96,3.8054358163290534,1.109865815666719,0.29165274857945384,medium,"[0.48632554913521825, 0.4043867183678542, 0.10928773249692758]",0.48632554913521825,0.4043867183678542,0.10928773249692758,0.1684855561147912,0.6067930952607304,0.2247213465682425,complex,0.06347527339959384,0.027812980984059137,0.15256576343616662,0.10317663424571777,highly_curved,0.9684406922094114,0.020727784297899877,high,1,0,0.0,connected,2,complex,poisson,valve_0043_lidar_classes.ply
773,3.943131500183908,1.0471119964165096,0.26555340497828156,medium,"[0.9060079720866313, 0.05294853138202952, 0.0410434965313392]",0.9060079720866313,0.05294853138202952,0.0410434965313392,0.9415584255824572,0.013140099429954989,0.04530147388384481,linear,0.1389288768946697,0.06123321972128148,0.273898010842589,0.21630852985833063,highly_curved,0.9277460431830723,0.09821376672649502,high,1,0,0.0,connected,3,tubular,ball_pivoting,valve_0043_lidar_classes.ply
105,4.810965952689757,1.963789694090001,0.40819031208979517,low,"[0.5968369042605185, 0.3415455595897522, 0.06161753614972934]",0.5968369042605185,0.3415455595897522,0.06161753614972934,0.42774054757778757,0.4690192931649136,0.10324015758179929,complex,0.02087406664886838,0.0168308648351911,0.08241384996131429,0.04468303646260596,slightly_curved,0.9721905491882483,0.03588558242209565,high,1,0,0.0,connected,4,complex,poisson,valve_0043_lidar_classes.ply
1307,3.6594159373039523,1.2024161832448748,0.3285814467437021,medium,"[0.4760072313403687, 0.37510748418863443, 0.14888528447099675]",0.4760072313403687,0.37510748418863443,0.14888528447099675,0.21197103803579598,0.47524950115858244,0.3127794587048131,complex,0.006239568591102971,0.010367201976558223,0.09376961849520879,0.018347998839070657,smooth,0.9934888108186456,0.017110090042809514,high,1,1,0.0007651109410864575,connected,5,complex,poisson,valve_0043_lidar_classes.ply
460,3.992538521223682,1.5524472169842776,0.388837129145501,medium,"[0.6275746575351769, 0.27831168428598446, 0.09411365817883867]",0.6275746575351769,0.27831168428598446,0.09411365817883867,0.5565281652136939,0.2935077501967379,0.14996408299613231,complex,0.006243422469327454,0.00842636623834219,0.04793522947491655,0.020872098294125698,smooth,0.9939797003215518,0.009433906995419171,high,1,0,0.0,connected,6,complex,poisson,valve_0043_lidar_classes.ply
