obj_file,rec_file,status,rmse_rec_to_ref,rmse_ref_to_rec,hausdorff,mean_dist,rec_faces,ref_faces,ref_verts
16.04.obj,valve_0016_lidar_classes_reconstructed.ply,ok,51.14247297450162,36.95572307113808,117.28163445266806,36.43771299554949,45164,3980,5243
16.04.obj,valve_0017_lidar_classes_reconstructed.ply,ok,69.75981658214799,55.60127450290544,200.574036029854,49.935668263772584,53831,3980,5243
16.04.obj,valve_0018_lidar_classes_reconstructed.ply,ok,48.131061726992,30.78842491496368,120.92746118132253,32.52298469411167,30582,3980,5243
16.04.obj,valve_0019_lidar_classes_reconstructed.ply,ok,67.64467026135917,53.8388867249352,190.68062835563762,48.711753124620685,53469,3980,5243
16.04.obj,valve_0020_lidar_classes_reconstructed.ply,ok,53.485375528536814,44.007822535487485,115.53569284779421,40.312092384785025,43858,3980,5243
16.05.obj,valve_0001_lidar_classes_reconstructed.ply,ok,35.185585926618316,49.54912000512602,111.92338197838133,34.94721698919317,32077,2904,3930
16.05.obj,valve_0002_lidar_classes_reconstructed.ply,ok,34.03602700305588,46.81244846409571,110.31714121940634,32.65950569588846,35210,2904,3930
16.05.obj,valve_0003_lidar_classes_reconstructed.ply,ok,34.464348615670595,54.93906121158923,137.77266066629247,36.588494851606704,51700,2904,3930
16.05.obj,valve_0004_lidar_classes_reconstructed.ply,ok,36.392820802324955,51.78496170213766,129.82178396389796,35.77229036799984,52080,2904,3930
16.05.obj,valve_0005_lidar_classes_reconstructed.ply,ok,34.641614733020475,50.62164696543842,105.34552603189911,35.313483695313046,51819,2904,3930
16.05.obj,valve_0006_lidar_classes_reconstructed.ply,ok,34.91514069175369,47.52937656641832,110.72144662803096,32.861327495944494,35374,2904,3930
16.05.obj,valve_0007_lidar_classes_reconstructed.ply,ok,30.171627214278494,45.90236887017255,113.08109505349796,30.607937730826244,33440,2904,3930
16.05.obj,valve_0008_lidar_classes_reconstructed.ply,ok,33.36207991670297,46.23945039657981,114.7017475287601,30.89478029665247,37892,2904,3930
16.05.obj,valve_0009_lidar_classes_reconstructed.ply,ok,31.542559402277906,52.84446183696402,131.44966582437343,34.33642490757673,51918,2904,3930
16.05.obj,valve_0010_lidar_classes_reconstructed.ply,ok,34.99702175240308,46.93500061508322,128.14588003255136,32.81470794447349,40525,2904,3930
16.05.obj,valve_0011_lidar_classes_reconstructed.ply,ok,35.526877175279864,49.59162598409149,131.40805864595765,34.23461348008667,36496,2904,3930
16.05.obj,valve_0012_lidar_classes_reconstructed.ply,ok,36.299451910303276,48.32626666800489,113.28147310112097,35.181554905466555,35324,2904,3930
16.05.obj,valve_0013_lidar_classes_reconstructed.ply,ok,34.85374088022694,48.74029467874242,108.33595298271044,34.408114820472825,39271,2904,3930
16.05.obj,valve_0014_lidar_classes_reconstructed.ply,ok,35.23246409071937,50.43367538454969,108.49910660360283,35.525251529899876,43266,2904,3930
16.05.obj,valve_0015_lidar_classes_reconstructed.ply,ok,34.513958449047685,50.85648703291577,106.89183480712371,35.46501154967935,51403,2904,3930
16.05.obj,valve_0016_lidar_classes_reconstructed.ply,ok,30.475777123901096,48.330545015908484,112.11209304012638,32.226765275442446,45164,2904,3930
16.05.obj,valve_0017_lidar_classes_reconstructed.ply,ok,34.77985588338349,55.89479111384527,131.78134050724785,37.41143867833355,53831,2904,3930
16.05.obj,valve_0018_lidar_classes_reconstructed.ply,ok,35.7318930641975,49.52943370552557,114.52960549800888,35.42875294681788,30582,2904,3930
16.05.obj,valve_0019_lidar_classes_reconstructed.ply,ok,34.15195970067846,55.111216302014824,129.3820829042073,36.537251084784224,53469,2904,3930
16.05.obj,valve_0020_lidar_classes_reconstructed.ply,ok,31.281847314173714,49.21454063585782,107.34534186832,33.06857794122169,43858,2904,3930
16.06.obj,valve_0001_lidar_classes_reconstructed.ply,ok,53.50947424113011,70.36668751851387,119.3131312027416,56.222235476671074,32077,18656,36316
